path,dog_detected,best_confidence,dog_frame_count,total_frames_checked
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-16-37.mp4,FALSE,0,0,60
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-19-58.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-37-31.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-40-58.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-43-18.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-48-15.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-51-12.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-52-36.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-53-09.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 10-58-30.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-00-12.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-04-07.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-04-57.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-07-23.mp4,FALSE,0,0,72
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-01.mp4,FALSE,0,0,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-22.mp4,TRUE,0.781,1,28
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-42.mp4,TRUE,0.567,2,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-08-57.mp4,FALSE,0,0,68
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-11-23.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-11-39.mp4,FALSE,0,0,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-13-49.mp4,TRUE,0.42,4,94
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-14-33.mp4,TRUE,0.379,1,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-18-30.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-18-44.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-19-04.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-19-20.mp4,FALSE,0,0,28
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-19-32.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-20-27.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-21-08.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-22-12.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-22-48.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-25-59.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-26-51.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-32-29.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-37-30.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-38-06.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-38-51.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-42-12.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-43-16.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-47-26.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-48-44.mp4,FALSE,0,0,56
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-49-19.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-50-11.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-51-32.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-52-41.mp4,TRUE,0.702,3,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 11-59-33.mp4,FALSE,0,0,116
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-00-27.mp4,FALSE,0,0,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-01-03.mp4,FALSE,0,0,52
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-02-59.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-03-16.mp4,FALSE,0,0,76
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-07-46.mp4,TRUE,0.912,32,72
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-11-16.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-11-44.mp4,FALSE,0,0,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-22-58.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-23-13.mp4,TRUE,0.883,40,100
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-24-08.mp4,TRUE,0.687,18,52
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-24-49.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-25-03.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-28-07.mp4,FALSE,0,0,60
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-28-52.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-29-37.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-30-23.mp4,TRUE,0.53,3,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-30-43.mp4,TRUE,0.859,19,104
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-35-44.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-36-09.mp4,TRUE,0.565,5,63
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-36-41.mp4,FALSE,0,0,68
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-37-16.mp4,FALSE,0,0,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-37-38.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-37-56.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-38-13.mp4,TRUE,0.766,17,64
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-39-14.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-39-33.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-42-47.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-44-52.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-48-17.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-55-16.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-58-58.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 12-59-54.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-08-01.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-08-35.mp4,TRUE,0.554,2,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-08-50.mp4,TRUE,0.718,9,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-09-24.mp4,TRUE,0.848,9,72
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-09-58.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-10-11.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-15-20.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-17-53.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-20-07.mp4,FALSE,0,0,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-20-51.mp4,FALSE,0,0,108
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-21-44.mp4,FALSE,0,0,52
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-23-06.mp4,FALSE,0,0,80
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-24-13.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-24-36.mp4,FALSE,0,0,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-26-06.mp4,TRUE,0.891,14,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-26-31.mp4,TRUE,0.687,8,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-27-00.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-27-34.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-28-33.mp4,TRUE,0.882,4,56
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-33-24.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-34-19.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-36-39.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-41-37.mp4,FALSE,0,0,88
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-44-57.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-49-59.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-50-27.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-50-44.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-51-27.mp4,FALSE,0,0,60
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-52-21.mp4,TRUE,0.612,3,64
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-53-06.mp4,FALSE,0,0,32
